iter	Passed	Remaining
405	7547	48223
406	7566	48204
407	7583	48178
408	7600	48148
409	7618	48129
410	7637	48107
411	7657	48098
412	7677	48094
413	7696	48077
414	7716	48065
415	7734	48042
416	7756	48043
417	7775	48026
418	7796	48026
419	7816	48013
420	7834	47995
421	7854	47981
422	7875	47979
423	7894	47961
424	7912	47938
425	7931	47923
426	7949	47903
427	7969	47892
428	7987	47870
429	8007	47858
430	8026	47841
431	8044	47818
432	8062	47799
433	8080	47775
434	8099	47757
435	8117	47737
436	8137	47726
437	8158	47723
438	8175	47695
439	8194	47675
440	8212	47656
441	8230	47630
442	8248	47608
443	8268	47597
444	8286	47578
445	8305	47563
446	8323	47536
447	8339	47503
448	8357	47485
449	8377	47471
450	8396	47457
451	8418	47456
452	8440	47457
453	8459	47439
454	8475	47409
455	8494	47390
456	8512	47368
457	8529	47342
458	8546	47315
459	8564	47290
460	8582	47269
461	8599	47241
462	8616	47214
463	8632	47181
464	8652	47167
465	8671	47153
466	8688	47127
467	8707	47110
468	8725	47090
469	8743	47067
470	8759	47033
471	8776	47004
472	8797	46998
473	8815	46977
474	8832	46950
475	8848	46920
476	8866	46896
477	8883	46868
478	8900	46841
479	8918	46824
480	8939	46814
481	8956	46789
482	8974	46768
483	8990	46736
484	9010	46724
485	9027	46697
486	9047	46685
487	9065	46664
488	9081	46635
489	9099	46612
490	9118	46595
491	9138	46584
492	9157	46568
493	9175	46545
494	9192	46521
495	9210	46498
496	9226	46467
497	9242	46435
498	9260	46414
499	9277	46386
500	9294	46360
501	9312	46340
502	9330	46319
503	9348	46297
504	9368	46284
505	9388	46275
506	9407	46257
507	9425	46235
508	9442	46212
509	9459	46182
510	9476	46157
511	9492	46127
512	9511	46112
513	9532	46104
514	9551	46088
515	9569	46066
516	9585	46035
517	9602	46008
518	9620	45987
519	9639	45973
520	9656	45948
521	9674	45926
522	9693	45911
523	9710	45882
524	9728	45861
525	9744	45832
526	9762	45811
527	9779	45787
528	9798	45767
529	9816	45748
530	9835	45733
531	9854	45713
532	9873	45700
533	9890	45676
534	9908	45652
535	9926	45631
536	9945	45615
537	9963	45593
538	9979	45566
539	9999	45554
540	10016	45527
541	10033	45502
542	10051	45481
543	10067	45453
544	10086	45435
545	10104	45414
546	10124	45404
547	10143	45384
548	10164	45377
549	10181	45351
550	10198	45330
551	10216	45309
552	10235	45293
553	10257	45286
554	10273	45260
555	10292	45241
556	10308	45213
557	10324	45183
558	10343	45166
559	10360	45142
560	10378	45119
561	10398	45109
562	10416	45087
563	10433	45064
564	10451	45042
565	10469	45020
566	10485	44993
567	10501	44963
568	10519	44942
569	10536	44919
570	10555	44901
571	10574	44886
572	10594	44873
573	10612	44851
574	10629	44829
575	10646	44804
576	10663	44777
577	10681	44759
578	10699	44738
579	10717	44718
580	10735	44696
581	10756	44687
582	10776	44678
583	10795	44662
584	10814	44642
585	10830	44614
586	10846	44588
587	10866	44575
588	10882	44547
589	10900	44526
590	10918	44503
591	10937	44487
592	10953	44458
593	10971	44440
594	10992	44430
595	11010	44409
596	11027	44387
597	11044	44361
598	11060	44336
599	11076	44307
600	11095	44291
601	11113	44269
602	11129	44241
603	11148	44223
604	11165	44201
605	11184	44184
606	11206	44179
607	11223	44154
608	11241	44134
609	11258	44109
610	11273	44080
611	11291	44058
612	11309	44040
613	11327	44020
614	11347	44005
615	11367	43994
616	11387	43979
617	11405	43960
618	11421	43933
619	11439	43911
620	11457	43894
621	11475	43873
622	11493	43852
623	11510	43829
624	11527	43805
625	11545	43782
626	11560	43754
627	11577	43730
628	11596	43711
629	11612	43684
630	11629	43659
631	11646	43638
632	11664	43618
633	11682	43599
634	11702	43586
635	11721	43569
636	11739	43547
637	11756	43524
638	11774	43505
639	11792	43485
640	11810	43465
641	11830	43453
642	11849	43436
643	11867	43414
644	11886	43400
645	11904	43378
646	11920	43352
647	11939	43335
648	11957	43315
649	11977	43303
650	11994	43279
651	12010	43251
652	12027	43228
653	12047	43215
654	12063	43188
655	12078	43159
656	12094	43132
657	12111	43107
658	12129	43087
659	12148	43072
660	12166	43052
661	12184	43032
662	12202	43012
663	12223	43004
664	12243	42991
665	12262	42972
666	12279	42952
667	12297	42932
668	12314	42906
669	12331	42884
670	12348	42862
671	12367	42842
672	12384	42820
673	12399	42791
674	12418	42773
675	12438	42760
676	12455	42737
677	12473	42717
678	12490	42696
679	12507	42673
680	12525	42652
681	12542	42629
682	12560	42608
683	12578	42588
684	12595	42568
685	12613	42547
686	12629	42522
687	12645	42495
688	12666	42483
689	12683	42461
690	12701	42441
691	12718	42418
692	12735	42396
693	12752	42372
694	12770	42354
695	12787	42330
696	12803	42306
697	12819	42278
698	12835	42253
699	12854	42235
700	12874	42222
701	12891	42199
702	12908	42176
703	12924	42153
704	12945	42140
705	12963	42121
706	12981	42103
707	12999	42082
708	13015	42058
709	13033	42039
710	13054	42027
711	13070	42001
712	13091	41990
713	13108	41969
714	13127	41951
715	13146	41936
716	13163	41914
717	13182	41896
718	13200	41878
719	13218	41857
720	13236	41839
721	13254	41818
722	13272	41800
723	13289	41776
724	13306	41754
725	13323	41731
726	13341	41712
727	13360	41695
728	13376	41671
729	13395	41656
730	13412	41633
731	13429	41609
732	13446	41585
733	13464	41567
734	13483	41550
735	13502	41534
736	13521	41517
737	13537	41494
738	13557	41480
739	13575	41461
740	13593	41439
741	13610	41418
742	13629	41401
743	13646	41379
744	13663	41356
745	13679	41332
746	13697	41311
747	13713	41286
748	13732	41270
749	13748	41245
750	13765	41222
751	13785	41210
752	13801	41184
753	13819	41164
754	13835	41140
755	13852	41118
756	13873	41107
757	13892	41091
758	13909	41068
759	13927	41048
760	13944	41026
761	13961	41005
762	13978	40981
763	13995	40959
764	14013	40942
765	14029	40916
766	14045	40891
767	14062	40869
768	14079	40846
769	14100	40835
770	14117	40814
771	14136	40797
772	14151	40771
773	14169	40750
774	14185	40726
775	14203	40708
776	14221	40687
777	14238	40666
778	14258	40651
779	14278	40638
780	14297	40622
781	14316	40605
782	14334	40587
783	14353	40569
784	14371	40550
785	14388	40528
786	14406	40509
787	14422	40486
788	14438	40462
789	14458	40445
790	14479	40435
791	14497	40418
792	14518	40405
793	14535	40383
794	14552	40362
795	14569	40341
796	14586	40319
797	14604	40298
798	14622	40281
799	14640	40260
800	14657	40238
801	14674	40217
802	14691	40194
803	14708	40174
804	14726	40153
805	14744	40136
806	14761	40114
807	14780	40098
808	14798	40077
809	14813	40052
810	14831	40033
811	14848	40011
812	14869	39999
813	14889	39986
814	14909	39971
815	14928	39954
816	14945	39933
817	14962	39911
818	14979	39889
819	14996	39867
820	15012	39843
821	15029	39821
822	15044	39796
823	15061	39773
824	15078	39752
